p,d,q,P,D,Q,m,AIC,BIC,Val_MAE
2,1,1,0,0,0,12,1800.3032731221083,1810.1669055967266,8806.149431610334
2,0,2,1,0,1,12,1800.5383399937014,1817.879697695049,7742.835327174757
2,1,2,0,0,0,12,1801.7475064216578,1814.0770470149307,8800.872166804407
1,0,2,1,0,1,12,1801.922899824584,1816.7869207114531,5923.6873946880005
2,0,2,1,0,0,12,1806.0009208875867,1820.864941774456,7474.174982928765
1,0,2,1,0,0,12,1807.8581980773108,1820.2448821497019,6375.60231344935
1,0,1,1,0,0,12,1809.3091867695766,1819.2185340274896,6974.07968151187
2,0,0,1,0,0,12,1809.790948075025,1819.700295332938,7149.858447832145
1,0,0,1,0,0,12,1810.488864603556,1817.9208750469907,8671.212561494043
1,0,2,0,0,1,12,1811.731837307008,1824.118521379399,7138.846595428793
1,0,1,0,0,1,12,1812.1236247727848,1822.0329720306977,7465.582428313234
2,0,1,1,0,0,12,1812.2590538747177,1824.6457379471087,8319.574634792201
2,0,0,0,0,1,12,1812.6715080799045,1822.5808553378174,7708.791124129468
1,0,0,0,0,1,12,1813.0289103905527,1820.4609208339873,8502.045071363074
2,0,2,0,0,1,12,1814.2461078839547,1829.1101287708238,7292.10777320592
2,0,1,0,0,1,12,1817.4402204717558,1829.8269045441468,8714.931125959782
1,0,1,0,0,0,12,1819.8392502152983,1827.271260658733,9030.340716486318
2,0,0,0,0,0,12,1820.1901398515583,1827.622150294993,9067.718020268157
1,0,2,0,0,0,12,1821.39550340815,1831.304850666063,8942.893240795587
2,0,2,0,0,0,12,1823.0516573922482,1835.4383414646393,9005.643626909296
1,0,0,0,0,0,12,1823.0815480061747,1828.0362216351311,9408.108711153209
2,0,1,0,0,0,12,1826.7720339145617,1836.6813811724746,9399.944939192006
0,0,0,1,0,0,12,1927.314279542572,1932.2689531715284,13130.130130802003
0,0,0,1,0,1,12,1927.6344751225724,1935.066485566007,14121.213130818314
0,0,2,1,0,0,12,2217.385664454418,2227.295011712331,85313.04530451022
0,0,1,1,0,0,12,2218.4335872590614,2225.865597702496,67398.75647401171
0,0,2,0,0,1,12,2218.5441754977633,2228.453522755676,104395.15717756719
0,0,2,1,0,1,12,2218.890207761223,2231.2768918336137,76276.22565319027
0,0,2,0,0,0,12,2219.0484282314646,2226.4804386748992,124795.42807134411
0,0,1,1,0,1,12,2219.831784196341,2229.7411314542537,61211.251538550765
0,0,1,0,0,1,12,2222.930955074367,2230.3629655178015,99999.65310947655
0,0,1,0,0,0,12,2230.355765558464,2235.3104391874203,126477.39804433679
0,0,0,0,0,1,12,2250.8700876393814,2255.8247612683376,96641.20496729051
0,0,0,0,0,0,12,2289.3501479231354,2291.8274847376138,129914.77777777778
